id,created_at,query,weather_location,temperatureC,humidityPercent,heatIndexC,heatLevel,summary,actions,safetyTips,confidenceScore,source
cdcf3d61-03eb-46ac-9ebf-ad15ce36d5c7,2026-03-24T20:06:16.266Z,"magsususpend po ba today if tumaas pa yung heat index?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
cce49ba7-0e06-41fb-8ede-9a339a410e61,2026-03-24T20:06:40.283Z,"suspension?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure. Safe level: class suspension is not recommended at this time based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended at this time based on current heat conditions. | Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response. | Stand by for official announcements through school communication channels.",0.86,"fallback"
fce5b87e-3be0-4a64-a249-91771642de6c,2026-03-24T20:11:28.626Z,"Should classes be suspended if heat index keeps rising?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
0f19cbd1-e58f-423b-ba68-a97c4abb7a6e,2026-03-24T20:11:29.293Z,"Dapat ba magsuspend ng klase kapag sobrang taas ng heat index?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure.","Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response.",0.86,"fallback"
0791ea58-43f4-4187-9a8c-4e2c37c620bf,2026-03-24T20:11:29.936Z,"May class suspension ba if tumaas pa yung heat index?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure. Safe level: class suspension is not recommended ngayon based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended ngayon based on current heat conditions. | Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response. | Mag-stand by sa official announcements through school communication channels.",0.86,"fallback"
03245666-1a59-46d2-b196-b5b817981d84,2026-03-24T20:12:03.217Z,"Should classes be suspended if heat index keeps rising?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Prioritize hydration, shade, and reduced outdoor exposure. Safe level: class suspension is not recommended at this time based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended at this time based on current heat conditions. | Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response. | Stand by for official announcements through school communication channels.",0.86,"fallback"
ba2b4e5a-2544-4226-b623-6505e377a1b9,2026-03-24T20:12:03.737Z,"Dapat ba magsuspend ng klase kapag sobrang taas ng heat index?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure. Safe level: class suspension is not recommended ngayon based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended ngayon based on current heat conditions. | Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response. | Mag-stand by sa official announcements through school communication channels.",0.86,"fallback"
979cd59e-a263-41e6-9206-8acea73967f4,2026-03-24T20:13:11.106Z,"Dapat ba magsuspend ng klase kapag sobrang taas ng heat index?","Valenzuela",24.4,76,25.1,safe,"Kasalukuyang heat index ay 25.1°C (safe). Unahin ang pag-inom ng tubig, lilim, at bawas na outdoor exposure. Safe level: hindi nirerekomenda ang class suspension sa ngayon base sa kasalukuyang heat condition.","Gabay sa class suspension: Safe level: hindi nirerekomenda ang class suspension sa ngayon base sa kasalukuyang heat condition. | Suriin ang kasalukuyang heat index at ipagpaliban ang mabibigat na outdoor activity kung kailangan. | Siguraduhin ang access sa inuming tubig sa classrooms at activity areas. | Mag-monitor ng maagang sintomas ng heat stress at i-escalate agad sa clinic kung kailangan.","Hikayatin ang regular na pag-inom ng tubig kada 15 hanggang 20 minuto kapag mainit. | Gumamit ng shaded o indoor alternatives para sa PE at assemblies kapag mataas ang risk. | Makipag-coordinate sa class advisers para sa at-risk students at mabilis na cooling response. | Mag-abang ng opisyal na announcement mula sa school communication channels.",0.86,"fallback"
f1739fa3-2d40-4323-834c-f96cf2c09620,2026-03-24T20:13:11.656Z,"May class suspension ba if tumaas pa yung heat index?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Prioritize hydration, shade, and reduced outdoor exposure. Safe level: class suspension is not recommended at this time based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended at this time based on current heat conditions. | Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response. | Stand by for official announcements through school communication channels.",0.86,"fallback"
2301dce6-d94a-4ee0-9f6a-1efe189c5b79,2026-03-24T20:13:29.035Z,"May class suspension ba if tumaas pa yung heat index?","Valenzuela",24.4,76,25.1,safe,"Kasalukuyang heat index ay 25.1°C (safe). Unahin ang pag-inom ng tubig, lilim, at bawas na outdoor exposure. Safe level: hindi nirerekomenda ang class suspension sa ngayon base sa kasalukuyang heat condition.","Gabay sa class suspension: Safe level: hindi nirerekomenda ang class suspension sa ngayon base sa kasalukuyang heat condition. | Suriin ang kasalukuyang heat index at ipagpaliban ang mabibigat na outdoor activity kung kailangan. | Siguraduhin ang access sa inuming tubig sa classrooms at activity areas. | Mag-monitor ng maagang sintomas ng heat stress at i-escalate agad sa clinic kung kailangan.","Hikayatin ang regular na pag-inom ng tubig kada 15 hanggang 20 minuto kapag mainit. | Gumamit ng shaded o indoor alternatives para sa PE at assemblies kapag mataas ang risk. | Makipag-coordinate sa class advisers para sa at-risk students at mabilis na cooling response. | Mag-abang ng opisyal na announcement mula sa school communication channels.",0.86,"fallback"
7527f4b2-f25f-4b98-a092-b78530b2a26b,2026-03-24T20:14:13.293Z,"May class suspension ba if tumaas pa yung heat index?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure. Safe level: class suspension is not recommended ngayon based on current heat conditions.","Class suspension gabay: Safe level: class suspension is not recommended ngayon based on current heat conditions. | Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response. | Mag-stand by sa official announcements through school communication channels.",0.86,"fallback"
c637c776-feb8-4b3d-8460-3ee408c74bbd,2026-03-24T20:18:12.686Z,"What should parents do if heat index increases this afternoon?","Valenzuela",24.4,76,25.1,safe,"Current heat index is 25.1°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure.","Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response.",0.86,"fallback"
3a0990b6-bd6d-4ab1-8099-07842e807f9a,2026-03-24T20:19:16.827Z,"Parent question: what should we do today if heat index rises?","Valenzuela",24.4,76,25.1,safe,"Unable to generate advisory from model output.","","",0.5,"gemini"
03d42880-f5c5-4952-8bca-3c5376ba363d,2026-03-24T20:20:37.888Z,"What should my child bring for today due to heat?","Valenzuela",24.6,75,25.4,safe,"Unable to generate advisory from model output.","","",0.5,"gemini"
1fd6711d-f31c-4bb7-85f9-d0a0d4162c25,2026-03-24T20:20:50.059Z,"hi","Valenzuela",24.6,75,25.4,safe,"Unable to generate advisory from model output.","","",0.5,"gemini"
53f35557-0e3b-4daf-bf56-0978559eb9e2,2026-03-24T20:23:08.628Z,"hii","Valenzuela",24.6,75,25.4,safe,"Here is the JSON requested:","Follow current school heat safety guidance while AI output is normalized.","Stay hydrated and monitor official school announcements.",0.65,"gemini"
d530ff96-7654-4681-a237-b39e44ab6a74,2026-03-24T20:25:24.731Z,"What should my child bring for today due to heat?","Valenzuela",24.6,75,25.4,safe,"Current heat index is 25.4°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"gemini"
0cadf557-9651-43ce-822b-842bbffc6f42,2026-03-24T20:27:13.951Z,"hi","Valenzuela",24.6,75,25.4,safe,"Current heat index is 25.4°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"gemini"
f0fe050c-34b6-4a2b-b00e-775000616be2,2026-03-24T20:32:22.215Z,"tell me about crypto prices today","Valenzuela",24.6,75,25.4,safe,"Current heat index is 25.4°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"gemini"
2da62bd7-0f8c-402a-857a-e3d58ae9293d,2026-03-24T20:33:34.626Z,"tell me about crypto prices today","Valenzuela",24.7,75,25.5,safe,"Sorry, that question is outside this assistant's scope. I can only handle heat index, weather impact, and school health advisory concerns.","Ask about current heat level and recommended safety actions for students and parents. | Ask about class activity adjustments, hydration, and warning signs of heat stress.","Use current heat conditions to get a focused advisory response. | Follow official school and DepEd communication channels for class schedule decisions.",0.9,"fallback"
f3587b1f-8c7d-47a8-a67f-8311248283f1,2026-03-24T20:34:20.904Z,"hi","Valenzuela",24.7,75,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"gemini"
dd7a8c4e-8c7a-4e2b-b658-a5ef1af7b23d,2026-03-24T20:37:07.412Z,"What signs of heat exhaustion should I watch for?","Valenzuela",24.7,75,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"gemini"
7b842959-9308-41d8-a545-f582c698b14e,2026-03-24T20:37:10.406Z,"May class suspension ba if tumaas pa heat index?","Valenzuela",24.7,75,25.5,safe,"Current heat index is 25.5°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure. Safe level: class suspension is not recommended ngayon based on current heat conditions.","Class suspension gabay: Safe level: class suspension is not recommended ngayon based on current heat conditions. | Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response. | Mag-stand by sa official announcements through school communication channels.",0.86,"gemini"
1be7e10d-6f01-414c-8566-000cb3fe98f0,2026-03-24T20:38:50.071Z,"hi","Valenzuela",24.7,75,25.5,safe,"I can assist with heat safety guidance based on current conditions (25.5°C, safe).","Ask about hydration, outdoor activity, warning signs, or class safety guidance. | Use specific parent concerns for more tailored advisory output.","Stay within official school and DepEd advisories for final decisions. | Use latest heat updates for best recommendations.",0.92,"fallback"
f93b73e4-2261-4067-a39f-2ee08f850ed6,2026-03-24T20:38:50.491Z,"salamat po","Valenzuela",24.7,75,25.5,safe,"Walang anuman. Nandito ako para tumulong sa heat safety decisions ng family ninyo.","Itanong ang kasalukuyang risk level para sa activity planning. | Itanong din kung ano ang dapat dalhin ng bata kapag mainit.","Maghanda ng tubig at pamunas. | Iwasan ang matinding outdoor activity sa peak heat hours.",0.92,"fallback"
2cb0bb93-65c6-4dd2-b78f-72d1d337195b,2026-03-24T20:38:50.921Z,"what can you do for parents?","Valenzuela",24.7,75,25.5,safe,"I can assist with heat safety guidance based on current conditions (25.5°C, safe).","Ask about hydration, outdoor activity, warning signs, or class safety guidance. | Use specific parent concerns for more tailored advisory output.","Stay within official school and DepEd advisories for final decisions. | Use latest heat updates for best recommendations.",0.92,"fallback"
c5452db3-b82e-4700-99b6-c10b52c6da51,2026-03-24T20:38:51.327Z,"my child feels dizzy after outdoor activity, what should we do now?","Valenzuela",24.7,75,25.5,safe,"I can assist with heat safety guidance based on current conditions (25.5°C, safe).","Ask about hydration, outdoor activity, warning signs, or class safety guidance. | Use specific parent concerns for more tailored advisory output.","Stay within official school and DepEd advisories for final decisions. | Use latest heat updates for best recommendations.",0.92,"fallback"
0269b1f8-3ccb-44fb-8426-ae9392e49865,2026-03-24T20:38:51.747Z,"how often should my child drink water today?","Valenzuela",24.7,75,25.5,safe,"Hydration is important today at 25.5°C (safe).","Encourage drinking water every 15 to 20 minutes during hot periods. | Refill water bottle before outdoor or PE activities. | Remind child to hydrate even without feeling thirsty.","Avoid sugary or dehydrating drinks during hot hours. | Pair hydration with short rest breaks in shaded/cool areas.",0.92,"fallback"
5caca3ef-6994-4e9a-888d-cd101d71820a,2026-03-24T20:38:52.170Z,"is outdoor activity safe this afternoon?","Valenzuela",24.7,75,25.5,safe,"I can assist with heat safety guidance based on current conditions (25.5°C, safe).","Ask about hydration, outdoor activity, warning signs, or class safety guidance. | Use specific parent concerns for more tailored advisory output.","Stay within official school and DepEd advisories for final decisions. | Use latest heat updates for best recommendations.",0.92,"fallback"
3827dd48-3c0b-40fe-aac7-1d2bda45a32e,2026-03-24T20:38:52.600Z,"open ba school tomorrow if heat gets worse?","Valenzuela",24.7,75,25.5,safe,"Outdoor safety depends on current heat level (safe) at 25.5°C heat index.","Reduce high-exertion activity during peak heat periods. | Use shaded or indoor alternatives when possible. | Coordinate with teachers for modified activity plans.","Watch for dizziness, fatigue, or headache signs. | Pause activity immediately if symptoms appear.",0.92,"fallback"
490ef143-81cc-42a6-8508-92bcceaa1ce7,2026-03-24T20:40:36.532Z,"hi","Valenzuela",24.7,75,25.5,safe,"Hi parent. Current heat index is 25.5°C (safe). I can help with practical heat-safety guidance for your child.","Ask about outdoor safety, hydration, warning signs, or class suspension guidance. | You can also ask what your child should bring during hot days.","Keep your child hydrated throughout the day. | Monitor school announcements for schedule updates.",0.92,"fallback"
de76f521-1f05-46cc-9410-630c6ac963fb,2026-03-24T20:40:36.950Z,"what can you do for parents?","Valenzuela",24.7,75,25.5,safe,"I can answer parent questions about heat index, weather impact, student precautions, and school safety advisories.","Ask about hydration frequency, outdoor safety, warning signs, and class suspension guidance. | Use English, Tagalog, or Taglish and I will adapt.","Use current heat condition for more precise response. | Follow official school and DepEd announcements for final decisions.",0.92,"fallback"
ea4fc6a0-0843-4ba0-882f-15a544b191cd,2026-03-24T20:40:37.352Z,"my child feels dizzy after outdoor activity, what should we do now?","Valenzuela",24.7,75,25.5,safe,"You are welcome. I am here to support your heat-safety decisions as a parent.","You can ask current risk level before outdoor activities. | You can also ask if PE or recess is safe today.","Prepare water bottle and light clothing for your child. | Avoid heavy outdoor exposure during peak heat hours.",0.92,"fallback"
7d62b7ae-203d-422c-914c-d93b018cce72,2026-03-24T20:40:37.763Z,"is outdoor activity safe this afternoon?","Valenzuela",24.7,75,25.5,safe,"You are welcome. I am here to support your heat-safety decisions as a parent.","You can ask current risk level before outdoor activities. | You can also ask if PE or recess is safe today.","Prepare water bottle and light clothing for your child. | Avoid heavy outdoor exposure during peak heat hours.",0.92,"fallback"
f9b3759f-fca1-4215-baa1-8d9a81ced298,2026-03-24T20:41:12.081Z,"my child feels dizzy after outdoor activity, what should we do now?","Valenzuela",24.7,75,25.5,safe,"If your child has dizziness, vomiting, severe headache, or confusion, treat this as urgent and refer to school clinic or nearest health provider immediately.","Stop outdoor activity and move the child to a cool shaded area. | Provide water if the child is conscious and can drink. | Notify class adviser and school clinic immediately.","Do not force the child to continue activity while symptomatic. | Seek medical assessment if symptoms persist or worsen.",0.92,"fallback"
9a5a68f9-b5e4-4a87-ac15-59aafb7fdf28,2026-03-24T20:41:12.558Z,"is outdoor activity safe this afternoon?","Valenzuela",24.7,75,25.5,safe,"Outdoor safety depends on current heat level (safe) at 25.5°C heat index.","Reduce high-exertion activity during peak heat periods. | Use shaded or indoor alternatives when possible. | Coordinate with teachers for modified activity plans.","Watch for dizziness, fatigue, or headache signs. | Pause activity immediately if symptoms appear.",0.92,"fallback"
4c86cba1-d9b1-4970-8712-f4cb38e0a716,2026-03-24T20:48:11.989Z,"What should my child bring for today due to heat?","Valenzuela",24.6,75,25.4,safe,"Current heat index is 25.4°C (safe). Recommended na ihanda ang bata para sa init ngayong araw.","Bring water bottle na madaling i-refill. | Use light breathable uniform plus hand towel. | Prepare cap/umbrella for sun exposure.","Remind the child to drink water regularly. | Coordinate with teacher if child has heat sensitivity.",0.92,"fallback"
36dae379-bf23-4a2b-af6d-da5b048be1ab,2026-03-24T20:48:28.445Z,"May class suspension ba if tumaas pa heat index?","Valenzuela",24.6,75,25.4,safe,"Current heat index is 25.4°C (safe). Unahin ang hydration, lilim, at bawas outdoor exposure. Safe level: class suspension is not recommended ngayon based on current heat conditions.","Class suspension gabay: Safe level: class suspension is not recommended ngayon based on current heat conditions. | Review current heat index at i-postpone ang high-exertion outdoor activity kung kailangan. | Ensure may access sa drinking water sa classrooms at activity areas. | Monitor students for early heat stress signs at i-escalate sa clinic when needed.","Encourage frequent hydration every 15 to 20 minutes kapag mainit. | Use shaded or indoor alternatives for PE at assemblies kapag elevated ang risk. | Coordinate with class advisers para sa at-risk students at immediate cooling response. | Mag-stand by sa official announcements through school communication channels.",0.86,"gemini"
